variable,name,description,behaviour,computed_at_runtime_or_static
entity.names.plural.filesystem_path,entity plural names filesystem_path,Filesystem-safe path form. for the plural form of the entity.,Scalar string.,computed_runtime
entity.names.plural.constant_case,entity plural names constant_case,CONSTANT_CASE form. for the plural form of the entity.,Scalar string.,computed_runtime
entity.names.plural.train_case,entity plural names train_case,Train-Case form. for the plural form of the entity.,Scalar string.,computed_runtime
entity.names.plural.lower_case,entity plural names lower_case,Lowercase compact form. for the plural form of the entity.,Scalar string.,computed_runtime
entity.names.plural.upper_case,entity plural names upper_case,Uppercase compact form. for the plural form of the entity.,Scalar string.,computed_runtime
field.names.original,field names original,Original input name before normalization. for the field.,Scalar string.,static
field.names.parts,field names parts,Array of parsed words/segments. for the field.,Array of strings; loopable.,computed_runtime
field.names.parts_length,field names parts_length,Number of parsed name parts. for the field.,Number derived from parts length.,computed_runtime
field.names.word,field names word,Last or primary word in the parsed name. for the field.,Scalar string.,computed_runtime
field.names.words,field names words,Human readable words joined by spaces. for the field.,Scalar string.,computed_runtime
field.names.words_lower,field names words_lower,Lowercase words joined by spaces. for the field.,Scalar string.,computed_runtime
field.names.words_upper,field names words_upper,Uppercase words joined by spaces. for the field.,Scalar string.,computed_runtime
field.names.words_title,field names words_title,Title case words joined by spaces. for the field.,Scalar string.,computed_runtime
field.names.camel_case,field names camel_case,camelCase form. for the field.,Scalar string.,computed_runtime
field.names.pascal_case,field names pascal_case,PascalCase form. for the field.,Scalar string.,computed_runtime
field.names.snake_case,field names snake_case,snake_case form. for the field.,Scalar string.,computed_runtime
field.names.kebab_case,field names kebab_case,kebab-case form. for the field.,Scalar string.,computed_runtime
field.names.dot_path,field names dot_path,dot.path form. for the field.,Scalar string.,computed_runtime
field.names.slash_path,field names slash_path,slash/path form. for the field.,Scalar string.,computed_runtime
field.names.filesystem_path,field names filesystem_path,Filesystem-safe path form. for the field.,Scalar string.,computed_runtime
field.names.constant_case,field names constant_case,CONSTANT_CASE form. for the field.,Scalar string.,computed_runtime
field.names.train_case,field names train_case,Train-Case form. for the field.,Scalar string.,computed_runtime
field.names.lower_case,field names lower_case,Lowercase compact form. for the field.,Scalar string.,computed_runtime
field.names.upper_case,field names upper_case,Uppercase compact form. for the field.,Scalar string.,computed_runtime
field.names.singular.original,field singular names original,Original input name before normalization. for the singular form of the field.,Scalar string.,computed_runtime
field.names.singular.parts,field singular names parts,Array of parsed words/segments. for the singular form of the field.,Array of strings; loopable.,computed_runtime
field.names.singular.parts_length,field singular names parts_length,Number of parsed name parts. for the singular form of the field.,Number derived from parts length.,computed_runtime
field.names.singular.word,field singular names word,Last or primary word in the parsed name. for the singular form of the field.,Scalar string.,computed_runtime
field.names.singular.words,field singular names words,Human readable words joined by spaces. for the singular form of the field.,Scalar string.,computed_runtime
field.names.singular.words_lower,field singular names words_lower,Lowercase words joined by spaces. for the singular form of the field.,Scalar string.,computed_runtime
field.names.singular.words_upper,field singular names words_upper,Uppercase words joined by spaces. for the singular form of the field.,Scalar string.,computed_runtime
field.names.singular.words_title,field singular names words_title,Title case words joined by spaces. for the singular form of the field.,Scalar string.,computed_runtime
field.names.singular.camel_case,field singular names camel_case,camelCase form. for the singular form of the field.,Scalar string.,computed_runtime
field.names.singular.pascal_case,field singular names pascal_case,PascalCase form. for the singular form of the field.,Scalar string.,computed_runtime
field.names.singular.snake_case,field singular names snake_case,snake_case form. for the singular form of the field.,Scalar string.,computed_runtime
field.names.singular.kebab_case,field singular names kebab_case,kebab-case form. for the singular form of the field.,Scalar string.,computed_runtime
field.names.singular.dot_path,field singular names dot_path,dot.path form. for the singular form of the field.,Scalar string.,computed_runtime
field.names.singular.slash_path,field singular names slash_path,slash/path form. for the singular form of the field.,Scalar string.,computed_runtime
field.names.singular.filesystem_path,field singular names filesystem_path,Filesystem-safe path form. for the singular form of the field.,Scalar string.,computed_runtime
field.names.singular.constant_case,field singular names constant_case,CONSTANT_CASE form. for the singular form of the field.,Scalar string.,computed_runtime
field.names.singular.train_case,field singular names train_case,Train-Case form. for the singular form of the field.,Scalar string.,computed_runtime
field.names.singular.lower_case,field singular names lower_case,Lowercase compact form. for the singular form of the field.,Scalar string.,computed_runtime
field.names.singular.upper_case,field singular names upper_case,Uppercase compact form. for the singular form of the field.,Scalar string.,computed_runtime
field.names.plural.original,field plural names original,Original input name before normalization. for the plural form of the field.,Scalar string.,computed_runtime
field.names.plural.parts,field plural names parts,Array of parsed words/segments. for the plural form of the field.,Array of strings; loopable.,computed_runtime
field.names.plural.parts_length,field plural names parts_length,Number of parsed name parts. for the plural form of the field.,Number derived from parts length.,computed_runtime
field.names.plural.word,field plural names word,Last or primary word in the parsed name. for the plural form of the field.,Scalar string.,computed_runtime
field.names.plural.words,field plural names words,Human readable words joined by spaces. for the plural form of the field.,Scalar string.,computed_runtime
field.names.plural.words_lower,field plural names words_lower,Lowercase words joined by spaces. for the plural form of the field.,Scalar string.,computed_runtime
field.names.plural.words_upper,field plural names words_upper,Uppercase words joined by spaces. for the plural form of the field.,Scalar string.,computed_runtime
field.names.plural.words_title,field plural names words_title,Title case words joined by spaces. for the plural form of the field.,Scalar string.,computed_runtime
field.names.plural.camel_case,field plural names camel_case,camelCase form. for the plural form of the field.,Scalar string.,computed_runtime
field.names.plural.pascal_case,field plural names pascal_case,PascalCase form. for the plural form of the field.,Scalar string.,computed_runtime
field.names.plural.snake_case,field plural names snake_case,snake_case form. for the plural form of the field.,Scalar string.,computed_runtime
field.names.plural.kebab_case,field plural names kebab_case,kebab-case form. for the plural form of the field.,Scalar string.,computed_runtime
field.names.plural.dot_path,field plural names dot_path,dot.path form. for the plural form of the field.,Scalar string.,computed_runtime
field.names.plural.slash_path,field plural names slash_path,slash/path form. for the plural form of the field.,Scalar string.,computed_runtime
field.names.plural.filesystem_path,field plural names filesystem_path,Filesystem-safe path form. for the plural form of the field.,Scalar string.,computed_runtime
field.names.plural.constant_case,field plural names constant_case,CONSTANT_CASE form. for the plural form of the field.,Scalar string.,computed_runtime
field.names.plural.train_case,field plural names train_case,Train-Case form. for the plural form of the field.,Scalar string.,computed_runtime
field.names.plural.lower_case,field plural names lower_case,Lowercase compact form. for the plural form of the field.,Scalar string.,computed_runtime
field.names.plural.upper_case,field plural names upper_case,Uppercase compact form. for the plural form of the field.,Scalar string.,computed_runtime
relation.names.original,relation names original,Original input name before normalization. for the relation.,Scalar string.,static
relation.names.parts,relation names parts,Array of parsed words/segments. for the relation.,Array of strings; loopable.,computed_runtime
relation.names.parts_length,relation names parts_length,Number of parsed name parts. for the relation.,Number derived from parts length.,computed_runtime
relation.names.word,relation names word,Last or primary word in the parsed name. for the relation.,Scalar string.,computed_runtime
relation.names.words,relation names words,Human readable words joined by spaces. for the relation.,Scalar string.,computed_runtime
relation.names.words_lower,relation names words_lower,Lowercase words joined by spaces. for the relation.,Scalar string.,computed_runtime
relation.names.words_upper,relation names words_upper,Uppercase words joined by spaces. for the relation.,Scalar string.,computed_runtime
relation.names.words_title,relation names words_title,Title case words joined by spaces. for the relation.,Scalar string.,computed_runtime
relation.names.camel_case,relation names camel_case,camelCase form. for the relation.,Scalar string.,computed_runtime
relation.names.pascal_case,relation names pascal_case,PascalCase form. for the relation.,Scalar string.,computed_runtime
relation.names.snake_case,relation names snake_case,snake_case form. for the relation.,Scalar string.,computed_runtime
relation.names.kebab_case,relation names kebab_case,kebab-case form. for the relation.,Scalar string.,computed_runtime
relation.names.dot_path,relation names dot_path,dot.path form. for the relation.,Scalar string.,computed_runtime
relation.names.slash_path,relation names slash_path,slash/path form. for the relation.,Scalar string.,computed_runtime
relation.names.filesystem_path,relation names filesystem_path,Filesystem-safe path form. for the relation.,Scalar string.,computed_runtime
relation.names.constant_case,relation names constant_case,CONSTANT_CASE form. for the relation.,Scalar string.,computed_runtime
relation.names.train_case,relation names train_case,Train-Case form. for the relation.,Scalar string.,computed_runtime
relation.names.lower_case,relation names lower_case,Lowercase compact form. for the relation.,Scalar string.,computed_runtime
relation.names.upper_case,relation names upper_case,Uppercase compact form. for the relation.,Scalar string.,computed_runtime
relation.names.singular.original,relation singular names original,Original input name before normalization. for the singular form of the relation.,Scalar string.,computed_runtime
relation.names.singular.parts,relation singular names parts,Array of parsed words/segments. for the singular form of the relation.,Array of strings; loopable.,computed_runtime
relation.names.singular.parts_length,relation singular names parts_length,Number of parsed name parts. for the singular form of the relation.,Number derived from parts length.,computed_runtime
relation.names.singular.word,relation singular names word,Last or primary word in the parsed name. for the singular form of the relation.,Scalar string.,computed_runtime
relation.names.singular.words,relation singular names words,Human readable words joined by spaces. for the singular form of the relation.,Scalar string.,computed_runtime
relation.names.singular.words_lower,relation singular names words_lower,Lowercase words joined by spaces. for the singular form of the relation.,Scalar string.,computed_runtime
relation.names.singular.words_upper,relation singular names words_upper,Uppercase words joined by spaces. for the singular form of the relation.,Scalar string.,computed_runtime
relation.names.singular.words_title,relation singular names words_title,Title case words joined by spaces. for the singular form of the relation.,Scalar string.,computed_runtime
relation.names.singular.camel_case,relation singular names camel_case,camelCase form. for the singular form of the relation.,Scalar string.,computed_runtime
relation.names.singular.pascal_case,relation singular names pascal_case,PascalCase form. for the singular form of the relation.,Scalar string.,computed_runtime
relation.names.singular.snake_case,relation singular names snake_case,snake_case form. for the singular form of the relation.,Scalar string.,computed_runtime
relation.names.singular.kebab_case,relation singular names kebab_case,kebab-case form. for the singular form of the relation.,Scalar string.,computed_runtime
relation.names.singular.dot_path,relation singular names dot_path,dot.path form. for the singular form of the relation.,Scalar string.,computed_runtime
relation.names.singular.slash_path,relation singular names slash_path,slash/path form. for the singular form of the relation.,Scalar string.,computed_runtime
relation.names.singular.filesystem_path,relation singular names filesystem_path,Filesystem-safe path form. for the singular form of the relation.,Scalar string.,computed_runtime
relation.names.singular.constant_case,relation singular names constant_case,CONSTANT_CASE form. for the singular form of the relation.,Scalar string.,computed_runtime
relation.names.singular.train_case,relation singular names train_case,Train-Case form. for the singular form of the relation.,Scalar string.,computed_runtime
relation.names.singular.lower_case,relation singular names lower_case,Lowercase compact form. for the singular form of the relation.,Scalar string.,computed_runtime
relation.names.singular.upper_case,relation singular names upper_case,Uppercase compact form. for the singular form of the relation.,Scalar string.,computed_runtime
relation.names.plural.original,relation plural names original,Original input name before normalization. for the plural form of the relation.,Scalar string.,computed_runtime
relation.names.plural.parts,relation plural names parts,Array of parsed words/segments. for the plural form of the relation.,Array of strings; loopable.,computed_runtime
relation.names.plural.parts_length,relation plural names parts_length,Number of parsed name parts. for the plural form of the relation.,Number derived from parts length.,computed_runtime
relation.names.plural.word,relation plural names word,Last or primary word in the parsed name. for the plural form of the relation.,Scalar string.,computed_runtime
relation.names.plural.words,relation plural names words,Human readable words joined by spaces. for the plural form of the relation.,Scalar string.,computed_runtime
relation.names.plural.words_lower,relation plural names words_lower,Lowercase words joined by spaces. for the plural form of the relation.,Scalar string.,computed_runtime
relation.names.plural.words_upper,relation plural names words_upper,Uppercase words joined by spaces. for the plural form of the relation.,Scalar string.,computed_runtime
relation.names.plural.words_title,relation plural names words_title,Title case words joined by spaces. for the plural form of the relation.,Scalar string.,computed_runtime
relation.names.plural.camel_case,relation plural names camel_case,camelCase form. for the plural form of the relation.,Scalar string.,computed_runtime
relation.names.plural.pascal_case,relation plural names pascal_case,PascalCase form. for the plural form of the relation.,Scalar string.,computed_runtime
relation.names.plural.snake_case,relation plural names snake_case,snake_case form. for the plural form of the relation.,Scalar string.,computed_runtime
relation.names.plural.kebab_case,relation plural names kebab_case,kebab-case form. for the plural form of the relation.,Scalar string.,computed_runtime
relation.names.plural.dot_path,relation plural names dot_path,dot.path form. for the plural form of the relation.,Scalar string.,computed_runtime
relation.names.plural.slash_path,relation plural names slash_path,slash/path form. for the plural form of the relation.,Scalar string.,computed_runtime
relation.names.plural.filesystem_path,relation plural names filesystem_path,Filesystem-safe path form. for the plural form of the relation.,Scalar string.,computed_runtime
relation.names.plural.constant_case,relation plural names constant_case,CONSTANT_CASE form. for the plural form of the relation.,Scalar string.,computed_runtime
relation.names.plural.train_case,relation plural names train_case,Train-Case form. for the plural form of the relation.,Scalar string.,computed_runtime
relation.names.plural.lower_case,relation plural names lower_case,Lowercase compact form. for the plural form of the relation.,Scalar string.,computed_runtime
relation.names.plural.upper_case,relation plural names upper_case,Uppercase compact form. for the plural form of the relation.,Scalar string.,computed_runtime
index.names.original,index names original,Original input name before normalization. for the index.,Scalar string.,static
index.names.parts,index names parts,Array of parsed words/segments. for the index.,Array of strings; loopable.,computed_runtime
index.names.parts_length,index names parts_length,Number of parsed name parts. for the index.,Number derived from parts length.,computed_runtime
index.names.word,index names word,Last or primary word in the parsed name. for the index.,Scalar string.,computed_runtime
index.names.words,index names words,Human readable words joined by spaces. for the index.,Scalar string.,computed_runtime
index.names.words_lower,index names words_lower,Lowercase words joined by spaces. for the index.,Scalar string.,computed_runtime
index.names.words_upper,index names words_upper,Uppercase words joined by spaces. for the index.,Scalar string.,computed_runtime
index.names.words_title,index names words_title,Title case words joined by spaces. for the index.,Scalar string.,computed_runtime
index.names.camel_case,index names camel_case,camelCase form. for the index.,Scalar string.,computed_runtime
index.names.pascal_case,index names pascal_case,PascalCase form. for the index.,Scalar string.,computed_runtime
index.names.snake_case,index names snake_case,snake_case form. for the index.,Scalar string.,computed_runtime
index.names.kebab_case,index names kebab_case,kebab-case form. for the index.,Scalar string.,computed_runtime
index.names.dot_path,index names dot_path,dot.path form. for the index.,Scalar string.,computed_runtime
index.names.slash_path,index names slash_path,slash/path form. for the index.,Scalar string.,computed_runtime
index.names.filesystem_path,index names filesystem_path,Filesystem-safe path form. for the index.,Scalar string.,computed_runtime
index.names.constant_case,index names constant_case,CONSTANT_CASE form. for the index.,Scalar string.,computed_runtime
index.names.train_case,index names train_case,Train-Case form. for the index.,Scalar string.,computed_runtime
index.names.lower_case,index names lower_case,Lowercase compact form. for the index.,Scalar string.,computed_runtime
index.names.upper_case,index names upper_case,Uppercase compact form. for the index.,Scalar string.,computed_runtime
index.names.singular.original,index singular names original,Original input name before normalization. for the singular form of the index.,Scalar string.,computed_runtime
index.names.singular.parts,index singular names parts,Array of parsed words/segments. for the singular form of the index.,Array of strings; loopable.,computed_runtime
index.names.singular.parts_length,index singular names parts_length,Number of parsed name parts. for the singular form of the index.,Number derived from parts length.,computed_runtime
index.names.singular.word,index singular names word,Last or primary word in the parsed name. for the singular form of the index.,Scalar string.,computed_runtime
index.names.singular.words,index singular names words,Human readable words joined by spaces. for the singular form of the index.,Scalar string.,computed_runtime
index.names.singular.words_lower,index singular names words_lower,Lowercase words joined by spaces. for the singular form of the index.,Scalar string.,computed_runtime
index.names.singular.words_upper,index singular names words_upper,Uppercase words joined by spaces. for the singular form of the index.,Scalar string.,computed_runtime
index.names.singular.words_title,index singular names words_title,Title case words joined by spaces. for the singular form of the index.,Scalar string.,computed_runtime
index.names.singular.camel_case,index singular names camel_case,camelCase form. for the singular form of the index.,Scalar string.,computed_runtime
index.names.singular.pascal_case,index singular names pascal_case,PascalCase form. for the singular form of the index.,Scalar string.,computed_runtime
index.names.singular.snake_case,index singular names snake_case,snake_case form. for the singular form of the index.,Scalar string.,computed_runtime
index.names.singular.kebab_case,index singular names kebab_case,kebab-case form. for the singular form of the index.,Scalar string.,computed_runtime
index.names.singular.dot_path,index singular names dot_path,dot.path form. for the singular form of the index.,Scalar string.,computed_runtime
index.names.singular.slash_path,index singular names slash_path,slash/path form. for the singular form of the index.,Scalar string.,computed_runtime
index.names.singular.filesystem_path,index singular names filesystem_path,Filesystem-safe path form. for the singular form of the index.,Scalar string.,computed_runtime
index.names.singular.constant_case,index singular names constant_case,CONSTANT_CASE form. for the singular form of the index.,Scalar string.,computed_runtime
index.names.singular.train_case,index singular names train_case,Train-Case form. for the singular form of the index.,Scalar string.,computed_runtime
index.names.singular.lower_case,index singular names lower_case,Lowercase compact form. for the singular form of the index.,Scalar string.,computed_runtime
index.names.singular.upper_case,index singular names upper_case,Uppercase compact form. for the singular form of the index.,Scalar string.,computed_runtime
index.names.plural.original,index plural names original,Original input name before normalization. for the plural form of the index.,Scalar string.,computed_runtime
index.names.plural.parts,index plural names parts,Array of parsed words/segments. for the plural form of the index.,Array of strings; loopable.,computed_runtime
index.names.plural.parts_length,index plural names parts_length,Number of parsed name parts. for the plural form of the index.,Number derived from parts length.,computed_runtime
index.names.plural.word,index plural names word,Last or primary word in the parsed name. for the plural form of the index.,Scalar string.,computed_runtime
index.names.plural.words,index plural names words,Human readable words joined by spaces. for the plural form of the index.,Scalar string.,computed_runtime
index.names.plural.words_lower,index plural names words_lower,Lowercase words joined by spaces. for the plural form of the index.,Scalar string.,computed_runtime
index.names.plural.words_upper,index plural names words_upper,Uppercase words joined by spaces. for the plural form of the index.,Scalar string.,computed_runtime
index.names.plural.words_title,index plural names words_title,Title case words joined by spaces. for the plural form of the index.,Scalar string.,computed_runtime
index.names.plural.camel_case,index plural names camel_case,camelCase form. for the plural form of the index.,Scalar string.,computed_runtime
index.names.plural.pascal_case,index plural names pascal_case,PascalCase form. for the plural form of the index.,Scalar string.,computed_runtime
index.names.plural.snake_case,index plural names snake_case,snake_case form. for the plural form of the index.,Scalar string.,computed_runtime
index.names.plural.kebab_case,index plural names kebab_case,kebab-case form. for the plural form of the index.,Scalar string.,computed_runtime
index.names.plural.dot_path,index plural names dot_path,dot.path form. for the plural form of the index.,Scalar string.,computed_runtime
index.names.plural.slash_path,index plural names slash_path,slash/path form. for the plural form of the index.,Scalar string.,computed_runtime
index.names.plural.filesystem_path,index plural names filesystem_path,Filesystem-safe path form. for the plural form of the index.,Scalar string.,computed_runtime
index.names.plural.constant_case,index plural names constant_case,CONSTANT_CASE form. for the plural form of the index.,Scalar string.,computed_runtime
index.names.plural.train_case,index plural names train_case,Train-Case form. for the plural form of the index.,Scalar string.,computed_runtime
index.names.plural.lower_case,index plural names lower_case,Lowercase compact form. for the plural form of the index.,Scalar string.,computed_runtime
index.names.plural.upper_case,index plural names upper_case,Uppercase compact form. for the plural form of the index.,Scalar string.,computed_runtime
check.names.original,check names original,Original input name before normalization. for the check.,Scalar string.,static
check.names.parts,check names parts,Array of parsed words/segments. for the check.,Array of strings; loopable.,computed_runtime
check.names.parts_length,check names parts_length,Number of parsed name parts. for the check.,Number derived from parts length.,computed_runtime
check.names.word,check names word,Last or primary word in the parsed name. for the check.,Scalar string.,computed_runtime
check.names.words,check names words,Human readable words joined by spaces. for the check.,Scalar string.,computed_runtime
check.names.words_lower,check names words_lower,Lowercase words joined by spaces. for the check.,Scalar string.,computed_runtime
check.names.words_upper,check names words_upper,Uppercase words joined by spaces. for the check.,Scalar string.,computed_runtime
check.names.words_title,check names words_title,Title case words joined by spaces. for the check.,Scalar string.,computed_runtime
check.names.camel_case,check names camel_case,camelCase form. for the check.,Scalar string.,computed_runtime
check.names.pascal_case,check names pascal_case,PascalCase form. for the check.,Scalar string.,computed_runtime
check.names.snake_case,check names snake_case,snake_case form. for the check.,Scalar string.,computed_runtime
check.names.kebab_case,check names kebab_case,kebab-case form. for the check.,Scalar string.,computed_runtime
check.names.dot_path,check names dot_path,dot.path form. for the check.,Scalar string.,computed_runtime
check.names.slash_path,check names slash_path,slash/path form. for the check.,Scalar string.,computed_runtime
check.names.filesystem_path,check names filesystem_path,Filesystem-safe path form. for the check.,Scalar string.,computed_runtime
check.names.constant_case,check names constant_case,CONSTANT_CASE form. for the check.,Scalar string.,computed_runtime
check.names.train_case,check names train_case,Train-Case form. for the check.,Scalar string.,computed_runtime
check.names.lower_case,check names lower_case,Lowercase compact form. for the check.,Scalar string.,computed_runtime
check.names.upper_case,check names upper_case,Uppercase compact form. for the check.,Scalar string.,computed_runtime
check.names.singular.original,check singular names original,Original input name before normalization. for the singular form of the check.,Scalar string.,computed_runtime
check.names.singular.parts,check singular names parts,Array of parsed words/segments. for the singular form of the check.,Array of strings; loopable.,computed_runtime
check.names.singular.parts_length,check singular names parts_length,Number of parsed name parts. for the singular form of the check.,Number derived from parts length.,computed_runtime
check.names.singular.word,check singular names word,Last or primary word in the parsed name. for the singular form of the check.,Scalar string.,computed_runtime
