variable,name,description,behaviour,computed_at_runtime_or_static
entity.name.path.dot.plural,entity name path dot plural,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
entity.name.path.slash.plural,entity name path slash plural,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
entity.name.path.filesystem.plural,entity name path filesystem plural,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
entity.name.casing.constant.plural,entity name casing constant plural,Plural constant casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
entity.name.casing.train.plural,entity name casing train plural,Plural train casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
entity.name.casing.lower.plural,entity name casing lower plural,Plural lower casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
entity.name.casing.upper.plural,entity name casing upper plural,Plural upper casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
field.name.original,field name original,Original input name before normalization.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,static
field.name.parts.array.all,field name parts array all,Array of parsed name parts; loopable.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
field.name.parts.array.count,field name parts array count,Number of parsed name parts.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
field.name.word,field name word,Last or primary word in the parsed name. for the field.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
field.name.words,field name words,Human readable words joined by spaces. for the field.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
field.name.words.lower,field name words lower,Lowercase words joined by spaces. for the field.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
field.name.words.upper,field name words upper,Uppercase words joined by spaces. for the field.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
field.name.words.title,field name words title,Title case words joined by spaces. for the field.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
field.name.casing.camel,field name casing camel,Camel casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
field.name.casing.pascal,field name casing pascal,Pascal casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
field.name.casing.snake,field name casing snake,Snake casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
field.name.casing.kebab,field name casing kebab,Kebab casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
field.name.path.dot,field name path dot,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
field.name.path.slash,field name path slash,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
field.name.path.filesystem,field name path filesystem,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
field.name.casing.constant,field name casing constant,Constant casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
field.name.casing.train,field name casing train,Train casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
field.name.casing.lower,field name casing lower,Lower casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
field.name.casing.upper,field name casing upper,Upper casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
field.name.original.singular,field name original singular,Original input name before normalization. for the singular form of the field.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
field.name.parts.array.all.singular,field name parts array all singular,Array of parsed name parts; loopable.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
field.name.parts.array.count.singular,field name parts array count singular,Number of parsed name parts.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
field.name.word.singular,field name word singular,Last or primary word in the parsed name. for the singular form of the field.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
field.name.words.singular,field name words singular,Human readable words joined by spaces. for the singular form of the field.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
field.name.words.lower.singular,field name words lower singular,Lowercase words joined by spaces. for the singular form of the field.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
field.name.words.upper.singular,field name words upper singular,Uppercase words joined by spaces. for the singular form of the field.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
field.name.words.title.singular,field name words title singular,Title case words joined by spaces. for the singular form of the field.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
field.name.casing.camel.singular,field name casing camel singular,Singular camel casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
field.name.casing.pascal.singular,field name casing pascal singular,Singular pascal casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
field.name.casing.snake.singular,field name casing snake singular,Singular snake casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
field.name.casing.kebab.singular,field name casing kebab singular,Singular kebab casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
field.name.path.dot.singular,field name path dot singular,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
field.name.path.slash.singular,field name path slash singular,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
field.name.path.filesystem.singular,field name path filesystem singular,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
field.name.casing.constant.singular,field name casing constant singular,Singular constant casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
field.name.casing.train.singular,field name casing train singular,Singular train casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
field.name.casing.lower.singular,field name casing lower singular,Singular lower casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
field.name.casing.upper.singular,field name casing upper singular,Singular upper casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
field.name.original.plural,field name original plural,Original input name before normalization. for the plural form of the field.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
field.name.parts.array.all.plural,field name parts array all plural,Array of parsed name parts; loopable.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
field.name.parts.array.count.plural,field name parts array count plural,Number of parsed name parts.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
field.name.word.plural,field name word plural,Last or primary word in the parsed name. for the plural form of the field.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
field.name.words.plural,field name words plural,Human readable words joined by spaces. for the plural form of the field.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
field.name.words.lower.plural,field name words lower plural,Lowercase words joined by spaces. for the plural form of the field.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
field.name.words.upper.plural,field name words upper plural,Uppercase words joined by spaces. for the plural form of the field.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
field.name.words.title.plural,field name words title plural,Title case words joined by spaces. for the plural form of the field.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
field.name.casing.camel.plural,field name casing camel plural,Plural camel casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
field.name.casing.pascal.plural,field name casing pascal plural,Plural pascal casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
field.name.casing.snake.plural,field name casing snake plural,Plural snake casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
field.name.casing.kebab.plural,field name casing kebab plural,Plural kebab casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
field.name.path.dot.plural,field name path dot plural,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
field.name.path.slash.plural,field name path slash plural,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
field.name.path.filesystem.plural,field name path filesystem plural,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
field.name.casing.constant.plural,field name casing constant plural,Plural constant casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
field.name.casing.train.plural,field name casing train plural,Plural train casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
field.name.casing.lower.plural,field name casing lower plural,Plural lower casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
field.name.casing.upper.plural,field name casing upper plural,Plural upper casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
relation.name.original,relation name original,Original input name before normalization.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,static
relation.name.parts.array.all,relation name parts array all,Array of parsed name parts; loopable.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
relation.name.parts.array.count,relation name parts array count,Number of parsed name parts.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
relation.name.word,relation name word,Last or primary word in the parsed name. for the relation.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
relation.name.words,relation name words,Human readable words joined by spaces. for the relation.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
relation.name.words.lower,relation name words lower,Lowercase words joined by spaces. for the relation.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
relation.name.words.upper,relation name words upper,Uppercase words joined by spaces. for the relation.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
relation.name.words.title,relation name words title,Title case words joined by spaces. for the relation.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
relation.name.casing.camel,relation name casing camel,Camel casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
relation.name.casing.pascal,relation name casing pascal,Pascal casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
relation.name.casing.snake,relation name casing snake,Snake casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
relation.name.casing.kebab,relation name casing kebab,Kebab casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
relation.name.path.dot,relation name path dot,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
relation.name.path.slash,relation name path slash,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
relation.name.path.filesystem,relation name path filesystem,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
relation.name.casing.constant,relation name casing constant,Constant casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
relation.name.casing.train,relation name casing train,Train casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
relation.name.casing.lower,relation name casing lower,Lower casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
relation.name.casing.upper,relation name casing upper,Upper casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
relation.name.original.singular,relation name original singular,Original input name before normalization. for the singular form of the relation.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
relation.name.parts.array.all.singular,relation name parts array all singular,Array of parsed name parts; loopable.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
relation.name.parts.array.count.singular,relation name parts array count singular,Number of parsed name parts.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
relation.name.word.singular,relation name word singular,Last or primary word in the parsed name. for the singular form of the relation.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
relation.name.words.singular,relation name words singular,Human readable words joined by spaces. for the singular form of the relation.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
relation.name.words.lower.singular,relation name words lower singular,Lowercase words joined by spaces. for the singular form of the relation.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
relation.name.words.upper.singular,relation name words upper singular,Uppercase words joined by spaces. for the singular form of the relation.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
relation.name.words.title.singular,relation name words title singular,Title case words joined by spaces. for the singular form of the relation.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
relation.name.casing.camel.singular,relation name casing camel singular,Singular camel casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
relation.name.casing.pascal.singular,relation name casing pascal singular,Singular pascal casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
relation.name.casing.snake.singular,relation name casing snake singular,Singular snake casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
relation.name.casing.kebab.singular,relation name casing kebab singular,Singular kebab casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
relation.name.path.dot.singular,relation name path dot singular,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
relation.name.path.slash.singular,relation name path slash singular,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
relation.name.path.filesystem.singular,relation name path filesystem singular,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
relation.name.casing.constant.singular,relation name casing constant singular,Singular constant casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
relation.name.casing.train.singular,relation name casing train singular,Singular train casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
relation.name.casing.lower.singular,relation name casing lower singular,Singular lower casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
relation.name.casing.upper.singular,relation name casing upper singular,Singular upper casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
relation.name.original.plural,relation name original plural,Original input name before normalization. for the plural form of the relation.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
relation.name.parts.array.all.plural,relation name parts array all plural,Array of parsed name parts; loopable.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
relation.name.parts.array.count.plural,relation name parts array count plural,Number of parsed name parts.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
relation.name.word.plural,relation name word plural,Last or primary word in the parsed name. for the plural form of the relation.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
relation.name.words.plural,relation name words plural,Human readable words joined by spaces. for the plural form of the relation.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
relation.name.words.lower.plural,relation name words lower plural,Lowercase words joined by spaces. for the plural form of the relation.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
relation.name.words.upper.plural,relation name words upper plural,Uppercase words joined by spaces. for the plural form of the relation.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
relation.name.words.title.plural,relation name words title plural,Title case words joined by spaces. for the plural form of the relation.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
